650511.52	9388107.25	650510.93	9388112.83
650510.35	9388136.98	650518.27	9388119.04
650553.70	9388144.22	650562.60	9388128.34
650595.70	9388128.64	650602.98	9388112.48
650594.81	9388136.02	650621.23	9388105.42
650597.20	9388126.47	650603.63	9388119.07
650613.96	9388107.45	650608.72	9388115.15
650611.07	9388128.55	650617.60	9388118.48
650615.09	9388130.33	650619.87	9388116.96
650620.28	9388122.18	650612.15	9388132.43
650613.18	9388130.47	650609.57	9388135.64
650611.71	9388131.37	650607.24	9388134.90
650611.69	9388129.73	650609.86	9388131.65
650612.10	9388128.06	650607.60	9388132.17
650616.74	9388140.14	650625.84	9388112.52
650622.77	9388119.15	650620.89	9388127.60
650665.13	9388072.74	650674.70	9388053.30
650673.38	9388064.31	650675.85	9388057.56
650675.86	9388061.98	650689.77	9388037.60
650626.77	9388088.69	650632.87	9388074.07
650630.52	9388084.66	650626.48	9388100.41
650626.18	9388104.99	650633.14	9388089.23
650637.58	9388095.73	650628.20	9388124.95
650635.76	9388111.83	650627.48	9388138.10
650633.09	9388117.72	650621.90	9388136.41
650624.19	9388133.29	650625.81	9388116.83
650621.94	9388134.40	650624.66	9388131.79
650606.41	9388127.92	650608.26	9388117.06
650598.46	9388125.90	650605.47	9388122.00
650605.78	9388127.92	650598.27	9388130.50
650610.98	9388104.77	650615.01	9388080.42
650611.36	9388095.45	650612.40	9388089.24
650609.30	9388097.17	650610.03	9388094.38
650610.85	9388095.46	650612.70	9388097.27
650607.97	9388092.88	650611.04	9388094.72
650608.50	9388091.09	650611.50	9388090.85
650608.70	9388089.33	650603.24	9388106.59
650612.64	9388099.02	650606.81	9388095.65
650611.21	9388097.06	650606.92	9388105.08
650605.41	9388102.48	650612.05	9388101.07
650612.36	9388098.20	650608.17	9388100.82
650600.26	9388101.82	650604.37	9388099.96
650599.71	9388100.12	650603.58	9388098.34
650602.82	9388096.88	650606.98	9388096.49
650623.45	9388122.53	650624.42	9388115.40
650625.51	9388119.08	650624.25	9388122.11
650632.83	9388067.90	650630.46	9388071.91
650621.63	9388075.20	650630.41	9388061.90
650533.17	9387986.62	650538.53	9387962.10
650536.52	9387981.17	650538.55	9387970.27
650657.77	9387955.19	650657.45	9387938.54
650654.56	9387952.20	650652.94	9387970.75
650648.90	9387952.76	650648.24	9387973.17
650651.86	9387984.21	650653.54	9387972.68
650652.17	9387997.83	650654.42	9387978.56
650661.78	9387996.66	650661.34	9387979.38
650662.46	9387983.87	650662.07	9387967.69
650661.36	9387953.84	650671.66	9387941.74
650663.33	9387948.00	650666.59	9387940.92
650660.25	9387952.94	650664.26	9387942.59
650660.64	9387967.81	650666.67	9387955.68
650661.62	9387960.75	650664.65	9387954.39
650665.40	9387953.60	650669.36	9387940.68
650666.39	9387954.70	650673.35	9387940.55
650672.70	9387946.95	650685.00	9387933.46
650669.35	9387938.43	650683.51	9387901.42
650658.26	9387910.32	650655.32	9387853.53
650639.35	9387916.37	650650.78	9387901.23
650649.61	9387905.97	650658.75	9387892.69
650653.52	9387903.20	650664.74	9387883.56
650666.45	9387885.13	650656.95	9387899.40
650664.54	9387897.45	650649.22	9387910.90
650650.30	9387916.11	650654.32	9387907.26
650641.50	9387904.96	650645.63	9387894.26
650624.55	9387930.02	650627.18	9387904.36
650626.56	9387906.93	650631.56	9387900.52
650620.72	9387933.03	650621.83	9387915.94
650628.25	9387937.43	650638.89	9387921.54
650616.38	9387920.23	650623.63	9387911.97
650574.22	9388096.56	650578.59	9388090.97
650653.30	9388027.46	650658.13	9388014.79
650659.17	9388017.82	650659.89	9388005.70
